21,Công ty TNHH xây lắp Công nghiệp và vận tải Tasco,"Số 166 Phù Nghĩa, Phường lộc Hạ, TP Nam định, Tỉnh NĐ",Mr Tùng,Tel: 0912900973,"Supply Submaterial, Tools and manpower",,
22,Công ty TNHH Cơ khí và Môi trường Minh Hoàng,Xã Thanh Hồng – huyện Thanh Hà – tỉnh Hải Dương,Mr Hùng,Tel: 983258556,"Supply Submaterial, Tools and manpower",,
23,Lê Duy Khánh,"Nam Sơn, An Dương, Hải Phòng",Mr Khánh,Tel: 0917.271032,"Supply Submaterial, Tools and manpower",,
24,Công ty CP Cung cấp nhân lực và dịch vụ kỹ thuật xây lắp,"Tầng trệt, Lô E2, Cao ốc Mỹ đức, số 220 Xô Viết Nghệ tĩnh, P21 Q Bình thạnh, Hồ Chí Minh",Mr Tuấn,02862589866,"Supply Submaterial, Tools and manpower",,
25,Công ty CP cơ khí và xây dựng Lisemco 5,"904 toà nhà Gelex, 52 Lê Đại Hành, Hai Bà Trưng, Hà Nội",Mr Khánh,Tel: 0913.202871,"Supply Submaterial, Tools and manpower",,
XI,Others supplier,,,,,,
1,"Thuy Ha Co., Ltd","No 10, Pham Ngu Lao, Quang Yen, Quang Ninh",Mr. Thuy,Mob. 0963344074,"Wooden (Kalna, dry dock)",,
2,Phuong Vien,"No. 81 An Da St., Ngo Quyen Dist., Hai Phong",Mr. Viet,Mob. 0903436950,Rubber gasket (dry dock),,
3,"Kim Trang Co., Ltd.","167 Quang Trung St., Hong Bang, Hai Phong",Mr. Thai,Mob. 0904219341,Tarpaulins,,
4,Tam Da JSC.,"So Dau, Hong Bang,Hai Phong",Mr. Thang,Mob. 0902211229,"Valve, Flange, elbow…",,
5,Kim Long JSC.,"So Dau, Hong Bang,Hai Phong",Mr. Cuong,Mob. 0906124585,"Valve, Flange, elbow…",,
6,"Hoa Dung Co., Ltd","Hồng Thái, An Dương, Hải Phòng","Mrs. Hoa
Giám đốc",Mob. 0912239443,Wooden ,,
7,"An Phat Co., Ltd","No. 01/1097 Nguyen Van Linh, An Dong, An Duong, Hai Phong ",Ms. Tu,Mob. 098304682,"Repair Motor, brake…",,
8,"Hung Phat Co., Ltd","Trung Hung, Bac Hung ward, Tien lang Dist, Hai Phong city.",Mr. Dat,,Roof material…,,
9,"Kim ThanhCo., Ltd","No 467, Ha Noi Street, Hung Vuong Ward, Hong Bang Dist, Hai Phong City",Mr. Hùng,Mob. 0346902012,Tarpaulins,,
10,"Kien Dung Co., Ltd","No 1, 31A street, An Phu An Khanh, An Phu ward, Thu Duc City, HCM",Mr. Kien,Tel: 028 62818231,Base and bearing plates….,,
11,"Changshu Fengyang Special Steel Co., LTD",Chánghu- Suzhou-China,Ms  Huyen,"Tel: 008651252815587
Fax: 008651252818206
Mob: 0966316758","Flange, fitting pipe, valve…",,A.23-FENGYANG
,,,,,Date: ,,
,Recommended by,,,,Checked by,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Purchaser,,,,Commercial Manager,,
